id,word,definition,cluster,x,y,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
2006,"Proxies, browser security",a configuration setting within a web browser that routes internet traffic through a proxy server to act as an intermediary providing anonymity content filtering or improved security by hiding the client's actual ip address,32,-3.5455794,-3.317676,"Web pages fail to load with 'Proxy server refusing connections' messages, inability to access local resources, or browser-specific certificate warnings.","Navigate to the browser's 'Settings' or 'Internet Options' (accessed via 'inetcpl.cpl'), check the 'Connections > LAN Settings' for proxy configuration, and disable 'Use a proxy server for your LAN' if not specifically required by the network environment.",Networking,Security,CORE 2,,SECURITY
2007,Proxy servers,a dedicated server application or appliance that acts as a gateway between a local network and the internet performing functions such as caching filtering requests and providing an additional layer of security,1,-3.01584,-3.2145503,"Slow web access, frequent connection timeouts, or access denied messages when trying to reach websites that the proxy is configured to block.","Verify the proxy server service is running, check the network gateway settings on client devices to ensure they are pointing to the correct proxy IP address, and examine proxy logs to identify blocked requests or authentication failures.",Networking,Network Services,CORE 1,NETWORKING,
2008,"Proxy settings, configuring",the administrative task of entering the ip address port and authentication credentials required for a network client to connect to a designated proxy server,102,-1.4836726,-5.323429,"Configuration errors leading to total network isolation for web browsers, or repeated credential prompts that never succeed.","Ensure the correct protocol (HTTP/HTTPS) and port are configured; if using an automated script, verify the 'Automatic configuration script' URL is accessible and valid.",Networking,Network Services,CORE 1,NETWORKING,
2009,Ps command,a command-line utility process status used in unix-like operating systems to display information about currently running processes such as process id pid and cpu usage,10,-2.1791434,4.0989327,"Unable to identify a frozen application, or inability to determine which process is consuming excessive system resources.","Execute 'ps aux' to see a comprehensive list of all running processes; use the information to identify hung applications, then use the 'kill' command followed by the PID to terminate them.",Operating Systems,Command Line Interface (CLI),CORE 2,,OPERATING SYSTEMS
2010,.ps1 files,a file extension used for windows powershell scripts containing a series of cmdlets or commands that can be executed to automate administrative tasks,69,-4.158679,3.7506042,"Running scripts is disabled on this system' error messages when attempting to execute the file, or syntax errors if the environment lacks the required module.","Check the execution policy by running 'Get-ExecutionPolicy'; if restricted, run 'Set-ExecutionPolicy RemoteSigned' (as an administrator) to allow local scripts to execute.",Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2011,.ps1 files: Automating processes,the practice of using powershell scripts to execute repetitive tasks such as user account creation data backup or software deployment without manual intervention,69,-3.4463947,2.72103,"The automation task fails to complete, or the script generates 'Access Denied' errors during automated runtime.",Run the script manually to identify where the logic fails; check user permissions (run as administrator if required) and ensure all file paths used within the script are absolute and accessible.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2012,.ps1 files: Batch files,the relationship or integration between traditional windows batch files ' bat' or ' cmd' and powershell where scripts may call one another to perform complex mixed-environment automation,69,-3.672081,4.040263,"A batch file fails to launch a PowerShell script properly, or parameters are passed incorrectly between the two formats.",Use the syntax 'powershell -File [script.ps1]' within the batch file to ensure the script environment is invoked correctly; check for character encoding issues between the two file types.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2013,.ps1 files: Cmdlets,lightweight command-line tools in powershell often following a 'verb-noun' naming convention e g 'get-service' used to perform specific management operations,69,-3.5978718,4.370616,The term [cmdlet name] is not recognized as the name of a cmdlet' error.,"Verify the required module is loaded using 'Get-Module -ListAvailable'; if not installed, install the module via 'Install-Module' or update your PowerShell environment.",Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2014,.ps1 files: Comment syntax,special characters used in powershell to denote text that the interpreter should ignore typically ' ' for single-line comments or ' ' for multi-line block comments,4,-4.5019474,4.191535,Script execution fails with syntax errors because the interpreter is trying to run comment text as a code command.,Ensure all comments are preceded by '#'; verify that multi-line comment blocks are properly closed with '#>' to prevent the entire remainder of the script from being treated as a comment.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2015,.ps1 files: For loops,a programming construct in powershell used to iterate through a range of numbers or a collection of objects to execute a set of instructions multiple times,69,-4.654443,2.8166723,"Script enters an infinite loop, or the loop terminates prematurely without processing all items in a list.",Verify the exit condition of the loop; use the 'Write-Host' command inside the loop to print the current iterator variable during debugging to verify it is progressing as expected.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2016,.ps1 files: Hyper-V hypervisors,using powershell to manage microsoft s hardware-level virtualization platform allowing administrators to automate vm virtual machine creation snapshotting and resource management,79,0.21453995,2.0660052,PowerShell commands return 'Access Denied' or 'Hyper-V module not found' when trying to manage VMs.,Ensure the Hyper-V Management Tools are installed under 'Windows Features'; verify that the user is a member of the 'Hyper-V Administrators' group.,Operating Systems,Virtualization,CORE 2,,OPERATING SYSTEMS
2017,.ps1 files: If statements,a conditional logic structure 'if' 'elseif' 'else' in powershell that executes code blocks only when specific conditions are met,4,-4.743954,2.9411197,"The script performs the wrong action when a condition is true, or logic seems to bypass a critical check.","Use the '-eq' (equal), '-ne' (not equal), '-gt' (greater than), or '-lt' (less than) operators properly; ensure the variables being compared contain the expected data types.",Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2018,.ps1 files: IPv4 configurations,powershell cmdlets such as 'new-netipaddress' used to modify network interface settings such as ip addresses subnet masks and default gateways,18,-2.541591,-5.1246743,"Network connectivity loss immediately after script execution, or settings failing to apply to the network adapter.",Run 'Get-NetIPConfiguration' to verify the current adapter index; ensure no IP conflicts exist; check that the interface name matches the one specified in the script exactly.,Networking,Network Services,CORE 1,NETWORKING,
2019,.ps1 files: Mapping drives,using the 'new-smbmapping' or 'new-psdrive' cmdlet to persistently connect a network share to a local drive letter,9,-0.75101477,-0.039516747,Drive mapping fails with 'Path not found' or 'Network path not found' errors upon script execution.,Manually verify the server path is reachable via 'File Explorer'; check credentials and ensure the 'Network Discovery' service is enabled.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2020,.ps1 files: Ping command,the powershell equivalent to the standard 'ping' utility usually implemented via the 'test-connection' cmdlet used to check reachability of a remote host,1,-1.3202853,-4.279437,Command returning 'Destination Host Unreachable' or taking longer than expected to timeout.,Check local firewall rules to ensure ICMP traffic is permitted; verify the target host is powered on and correctly addressed.,Networking,Network Troubleshooting,CORE 1,NETWORKING,
2021,.ps1 files: Scripting,the overall discipline of writing code in powershell to perform complex tasks manage systems and interact with the os environment,69,-3.3913672,3.3875875,"Scripts running slowly, failing under load, or producing runtime errors in production.",Enable strict error handling using '$ErrorActionPreference = 'Stop'' at the top of the script; utilize 'Try/Catch' blocks to gracefully handle potential failures.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2022,.ps1 files: Test-connection command,a powershell cmdlet that sends icmp echo requests to one or more computers providing detailed diagnostic information about network latency and connectivity,1,-1.88527,-3.8401365,Inconsistent results or blocked packets where the host is known to be up.,Use the '-Count' parameter to increase the number of packets sent for better data accuracy; ensure administrative privileges are used to bypass certain local security restrictions.,Networking,Network Troubleshooting,CORE 1,NETWORKING,
2023,.ps1 files: Use cases,practical scenarios for deploying powershell scripts such as mass configuration of user accounts automated software updates or server monitoring alerts,1,-3.63264,2.7438662,"Script performs unintended actions (e.g., deleting files instead of moving them).",Always test scripts in a development or sandbox environment before running them in a production domain.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2024,.ps1 files: Versioning,managing different iterations of a powershell script often including comments on changes version numbers and metadata to track development progress,1,-4.223155,3.6772108,Running the wrong version of a script causing regression issues or unintended behavior.,Use source control management (like Git) to track changes; document the version number in the script header using comments.,Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2025,.ps1 files: VSC (Visual Studio Code),a popular lightweight cross-platform code editor that provides extensive support for powershell via the powershell extension including intellisense and debugging features,69,-4.2711897,3.7844276,The editor fails to highlight syntax or provide code completion for PowerShell commands.,"Navigate to the Extensions view (Ctrl+Shift+X), search for 'PowerShell', and ensure the official Microsoft extension is installed and active.",Operating Systems,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2026,PSE (Power Sourcing Equipment),a network device such as a poe switch or injector that supplies power to pds powered devices over ethernet cabling,1,2.942091,-4.4438457,"Connected devices (cameras, access points) fail to power on or perform erratic reboots.",Check the switch port status via the management interface; ensure the PSE supports the correct IEEE 802.3af/at/bt standard required by the PD; verify the total power budget of the switch has not been exceeded.,Networking,Network Hardware,CORE 1,NETWORKING,
2027,Passwd command,a command used in linux to change a user's password it prompts the user to enter their current password and then the new password twice for confirmation,10,-5.0691495,-1.0007732,Authentication token manipulation error' or permission denied errors when trying to change the password.,"Ensure you have sufficient privileges (root or the user themselves); if forgotten, the password may need to be reset via 'Single User Mode' or a live boot environment.",Operating Systems,Account Management,CORE 2,,OPERATING SYSTEMS
2028,PSU (Power Supply Units),a hardware component that converts ac from a wall outlet into low-voltage dc power required by internal computer components,67,6.1198664,-0.7031448,"Computer fails to power on, random system reboots under load, or intermittent 'power good' signal failures.",Use a multimeter or a dedicated PSU tester to check voltages on the 24-pin and CPU power connectors; ensure all cables are firmly seated.,Hardware,Internal Components,CORE 1,HARDWARE,
2029,PSU: ATX (Advanced Technology eXtended),the most common motherboard and power supply form factor standard that defines physical dimensions and connector specifications for pc systems,115,5.5444613,1.0166509,"PSU will not fit into the case, or cables are too short to reach the motherboard.","Verify the chassis and PSU are both rated for the ATX standard; if space is tight, consider a modular PSU to reduce cable clutter.",Hardware,Internal Components,CORE 1,HARDWARE,
2030,PSU: Case connectors,cables originating from the psu that connect to internal components including the main 24-pin motherboard connector 4 8-pin cpu power and sata connectors for drives,115,6.0760374,1.2246976,"Component not receiving power, or smoke/burning smell due to forced incorrect connection.",Visually inspect connectors for damage; ensure they are fully seated in the component's socket and that the locking clip is engaged.,Hardware,Internal Components,CORE 1,HARDWARE,
2031,PSU: Compatibility,ensuring the power supply unit matches the motherboard's power requirements wattage and specific connector types like 24-pin or eps12v,115,6.2211895,0.6760863,Motherboard does not boot or signals a power error (beeps/LEDs).,Compare the motherboard manual requirements with the PSU output label; verify the PSU wattage is sufficient for the total system load (CPU + GPU + peripherals).,Hardware,Internal Components,CORE 1,HARDWARE,
2032,PSU: EATX12V,an extended 8-pin power connector standard used to provide additional dedicated 12v power to high-performance cpus,115,5.892423,0.54187095,System fails to boot or becomes unstable during CPU-intensive tasks.,"Ensure the 8-pin cable is plugged into the dedicated CPU power slot near the processor, not a PCIe connector which may have a similar physical appearance.",Hardware,Internal Components,CORE 1,HARDWARE,
2033,PSU: Electrical safety,the practice of handling power supplies with caution including avoiding opening the psu casing as internal capacitors can hold a lethal charge even when unplugged,115,5.93783,0.042264067,Electric shock during maintenance or PSU failure due to short circuits.,Always unplug the PSU before working inside the case; use an anti-static wrist strap; never attempt to repair the internal circuitry of the PSU.,Hardware,Safety,CORE 1,HARDWARE,
2034,PSU: Fault tolerance,the ability of a system to maintain operation even if one power supply unit fails typically achieved in servers by using redundant psus,115,5.9596286,0.811666,System shutdown or crash upon the failure of a single power input.,Check status LEDs on the PSU; replace the faulty unit in a hot-swappable environment without shutting down the server.,Hardware,Internal Components,CORE 1,HARDWARE,
2035,PSU: Installing,the physical process of securing the power supply into the chassis and connecting the necessary power cables to the motherboard gpu and storage drives,115,5.431971,0.59149224,System overheating due to blocked airflow or loose cables touching cooling fans.,"Use cable ties to manage wire routing behind the motherboard tray, ensuring no cables obstruct the intake or exhaust fans of the PSU.",Hardware,Internal Components,CORE 1,HARDWARE,
2036,PSU: Modular PSU,a power supply unit where the cables can be detached from the psu body allowing users to connect only the cables needed for their specific system build,115,5.933711,0.26450866,Power delivery failure because a cable was not fully plugged into the PSU end.,Double-check both ends of the modular cable (PSU-side and component-side); ensure the correct cable type is used for the specific PSU model to avoid pinout damage.,Hardware,Internal Components,CORE 1,HARDWARE,
2037,PSU: Planning,calculating the total wattage required for a system including cpu gpu and peripherals adding a buffer for stability,13,3.4958334,0.722332,System crashes under heavy graphical load because the PSU cannot supply enough current.,"Use an online PSU calculator; ensure the planned PSU meets the total wattage and features (e.g., 80 Plus efficiency rating) required for the components.",Hardware,Internal Components,CORE 1,HARDWARE,
2038,PSU: Power connectors,the various physical plugs molex sata pcie 24-pin on the end of psu cables that deliver power to specific devices,115,6.1307926,0.853453,Device not powering on or wrong voltage being applied to a component.,"Verify physical compatibility; never force a connector if it doesn't fit, as pins may be misaligned or the connector type may be incorrect.",Hardware,Internal Components,CORE 1,HARDWARE,
2039,PSU: Redundant PSU,a configuration where two or more power supplies are installed in a computer sharing the load so that if one fails the other can sustain the system,1,3.0516105,2.7682238,Alarm sounding from server chassis or system warning log indicating a failed power supply module.,Locate the failed unit via the server's management software or physical LED indicator and replace it with a functional module.,Hardware,Internal Components,CORE 1,HARDWARE,
2040,PSU: Testing,using a dedicated psu tester or multimeter to verify the output voltages 3 3v 5v 12v are within the accepted tolerance usually - 5,13,5.802888,0.37002167,System instability or component failure without a clear root cause.,"Turn off the PC, disconnect all power cables from components, connect the PSU to the tester, and observe the LCD readout; if voltage is out of spec, replace the unit.",Hardware,Internal Components,CORE 1,HARDWARE,
2041,PSU: Troubleshooting,the systematic process of diagnosing psu issues including checking cables verifying voltages and listening for audible signs of failure like fan noise or coil whine,61,2.9002788,-0.11934097,"Intermittent reboots, smell of ozone, or the computer failing to respond to the power button.","Test the outlet, verify the power switch on the back of the PSU is on, bypass components (minimum boot configuration), and check voltages with a tester.",Hardware,Internal Components,CORE 1,HARDWARE,
2042,PSU: Types of,categorization of power supplies based on form factor atx sfx tfx and modularity non-modular semi-modular fully modular,1,4.616726,1.7407813,PSU too large for the computer case or lacking sufficient connectors for high-end GPUs.,Check the PC case specifications for supported PSU form factors; select the modularity type based on ease of cable management needs.,Hardware,Internal Components,CORE 1,HARDWARE,
2043,PSU: Wattage,a measure of the power capacity of the psu e g 500w 750w representing the maximum energy the unit can deliver to system components,115,5.8490915,0.55786896,Unexpected shutdowns during high-load gaming or video rendering.,"Check the PSU label for the maximum output; if it is lower than the required sum of the system components, replace the PSU with a higher-wattage model.",Hardware,Internal Components,CORE 1,HARDWARE,
2044,PTR (Pointer) records,a type of dns record that maps an ip address to a domain name acting as the reverse of an a record,20,-3.8605921,-5.0527697,Email servers rejecting messages because they cannot verify the reverse lookup of the sending IP (Reverse DNS failure).,Use the 'nslookup -type=ptr [IP address]' command to check if a valid pointer record exists; coordinate with the ISP if reverse DNS needs updating for a public IP.,Networking,Network Services,CORE 1,NETWORKING,
2045,Public clouds,a cloud computing model where services are offered by a third-party provider e g aws azure over the public internet making them available to anyone who wants to purchase them,107,-2.496345,-0.9080936,Inability to access cloud-hosted resources or latency issues during peak times.,"Verify internet connectivity, check the cloud provider's status dashboard for regional outages, and verify your account permissions and subscription status.",Cloud Computing,Infrastructure,CORE 2,,CLOUD COMPUTING
2046,Public IP addresses,a unique ip address accessible from the internet assigned to a router or device to enable global communication,102,-1.8168497,-5.4339542,"Website not reachable from outside the network, or unable to establish VPN tunnels.",Confirm the ISP has assigned a routable public IP to the WAN interface; check if NAT or port forwarding is configured correctly to direct traffic to internal devices.,Networking,Network Basics,CORE 1,NETWORKING,
2047,Punchdown tools,a hand tool used to insert wires into insulation-displacement connectors on patch panels or wall jacks,1,3.5269642,-4.0162487,Poor network connectivity or intermittent 'flapping' links due to loose wire terminations.,"Re-terminate the connection, ensuring the wire is seated correctly in the slot; use the correct blade type (110 or 66) for the jack; ensure the wire is not damaged by the blade.",Networking,Network Tools,CORE 1,NETWORKING,
2048,Purging drives,a method of data sanitization that renders data recovery impossible using state-of-the-art laboratory techniques e g degaussing or physical destruction of the platters,1,2.379567,3.4737902,Data still accessible on a drive after a simple 'format' operation.,"For sensitive information, use disk wiping software that overwrites the entire drive with random data multiple times, or physically shred/incinerate the drive if the hardware is to be disposed of.",Data Sanitization,Security,CORE 2,,SECURITY
2049,"Purpose of change, change management",a documented requirement in a formal change management process that explains why a change is necessary what its goals are and the business justification,1,0.053169653,1.8547086,Change request denied by the CAB (Change Advisory Board) due to insufficient documentation.,"Clearly articulate the business need, the expected benefit, and any risks involved; provide a rollback plan in case the change causes unforeseen issues.",Operational Procedures,Change Management,CORE 2,,OPERATIONAL PROCEDURES
2050,Pwd command,a command print working directory used in unix linux to output the full path of the directory you are currently working in,43,-2.129497,5.479478,User is unsure of their current location in the file system and accidentally executes commands in the wrong directory.,"Execute 'pwd' to confirm your location; if incorrect, use 'cd' to navigate to the intended directory before continuing your work.",Operating Systems,Command Line Interface (CLI),CORE 2,,OPERATING SYSTEMS
2051,PXE (Preboot eXecution Environment) network boot OS installations,a mechanism that allows a workstation to boot from a network interface card fetching the os installation image from a central server rather than local media,1,1.2760657,2.8311336,No boot device found' or PXE-E53 (No boot filename received) error during the boot sequence.,Ensure PXE boot is enabled in the BIOS/UEFI; verify the DHCP server is correctly configured to provide the TFTP server address and boot filename.,Operating Systems,Installation & Configuration,CORE 2,,OPERATING SYSTEMS
2052,.py files,the file extension used for python scripts which are text files containing source code that is executed by the python interpreter,4,-4.7265673,3.815487,The script fails to run or produces a 'SyntaxError' due to improper formatting.,Run the script from the terminal using 'python [filename.py]' to view error messages; ensure Python is installed and the PATH variable is correctly configured.,Software,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2053,Python,a high-level general-purpose programming language known for its readability and extensive libraries widely used for system administration and automation tasks,28,-5.4019933,3.3454404,Environment issues where libraries are missing or version conflicts occur.,Use 'pip' to install missing modules; use 'virtualenv' to isolate dependencies for different scripts to prevent version conflicts.,Software,Scripting & Automation,CORE 2,,OPERATING SYSTEMS
2054,Quadruple-channel RAM (Random Access Memory),an advanced memory architecture where the memory controller coordinates four independent 64-bit data channels to read from and write to memory simultaneously effectively creating a massive 256-bit wide data bus that drastically boosts memory throughput on high-end desktop or workstation motherboards,23,3.9885383,1.8388608,"Frequent BSOD (Blue Screen of Death) memory dump errors, extreme performance slowdowns during memory-intensive processing tasks, failure to POST (Power-On Self-Test) yielding erratic beep codes, or the Operating System (OS) and UEFI (Unified Extensible Firmware Interface) reporting only a fraction of the physically installed memory capacity.","Turn off the system and pull the physical power plug; open the computer chassis, consult the motherboard manual to verify the precise slot population mapping for quadruple-channel operation, unseat all four RAM (Random Access Memory) modules, blow out the DIMM (Dual In-line Memory Module) slots with compressed air, clean the gold module pins gently with an eraser, firmly click the modules back into the designated color-coded slots, and run a thorough bootable configuration of “Windows Memory Diagnostic” or “MemTest86”.",Hardware,Memory,CORE 1,HARDWARE,
2055,"Quality, print resolution",the level of sharpness and detail found in a physical printout determined by the mechanical density of the microscopic droplets of ink or grains of toner deposited onto a sheet of paper typically calculated in dpi dots per inch,88,4.9509497,-1.6549907,"Printed text appearing blurry, blocky, or pixelated; fine geometric lines failing to render clearly on a document; or image graphics looking heavily washed out and lacking high-contrast definition.","Open the “Control Panel”, navigate to “Devices and Printers”, right-click the problematic printer appliance, choose “Printing preferences”, click on the “Paper/Quality” or “Advanced” settings tab, change the print resolution modifier dropdown menu from Draft or Standard to its maximum native hardware capability (such as “1200 dpi” or “2400 dpi”), and print a standard test page to confirm crisp output.",Hardware,Printers,CORE 1,HARDWARE,
2056,Quarantining malware-infected systems,a crucial corporate security response procedure step 2 of the comptia 7-step malware removal best practices that involves completely isolating an infected endpoint machine from all local and wide-area network data pathways to freeze malicious automated behavior and stop the spread of infection to other corporate nodes,72,0.8089863,0.20727798,"A workstation suddenly behaves erratically or alerts to a ransomware payload, while simultaneously trying to connect to unknown local corporate IP (Internet Protocol) addresses, sending outbound broadcast traffic, or scanning internal open network shares.","Immediately pull the physical RJ-45 (Registered Jack 45) Ethernet network cable from the machine's NIC (Network Interface Card) or access the system tray to disable the local Wi-Fi connection; if the system is a cloud-hosted VM (Virtual Machine), modify its virtual network adapter within the hypervisor dashboard to bind it to a strictly isolated ""Host-Only"" or quarantined VLAN (Virtual Local Area Network) that is completely segregated from production traffic.",Network Security & Access Control,Operational Security Procedures,CORE 2,,SECURITY
2057,Questions: Answering difficult questions when taking exams,a testing methodology used to optimize time management and maximize a scoring outcome by actively identifying and strategically skipping highly complex or ambiguous exam scenarios during a timed certification voucher period,1,0.8429659,-0.02486292,"A candidate getting entirely bogged down on a difficult multi-tiered Performance-Based Question (PBQ), causing them to run completely out of time before they even read or complete the final twenty multiple-choice questions of the assessment block.","When confronted with a challenging exam prompt, click the custom interactive check box labeled “Mark for Review” at the top left corner of the digital testing platform, select an immediate baseline educated guess to ensure an empty field is not left behind, click the “Next” arrow to maintain positive forward momentum through easier questions, and return to all flagged content using the summary matrix screen once the final standard question is processed.",Operational Procedures,Exam Tips & Strategies,CORE 2,,OPERATIONAL PROCEDURES
2058,Questions: Exam preparation,the structured method of reviewing training objective lists taking mock practice tests analyzing vendor blueprint breakdowns and configuring hands-on lab sandboxes to establish a technically sound competency across all functional system support requirements,1,0.5795268,-0.14001834,"A candidate experiencing extreme test anxiety, repeatedly failing preliminary practice simulations, or incorrectly matching critical hardware components to their correct functional roles during review sessions.","Download the official CompTIA A+ core exam objectives blueprint document directly from their portal, set up a dedicated desktop virtualization playground utilizing “Oracle VM VirtualBox” to practice operating system administrative tasks, build custom flashcards for standardized protocol port assignments, and review detailed practice question explanations to identify specific conceptual weaknesses before scheduling an official test attempt.",Operational Procedures,Exam Tips & Strategies,CORE 2,,OPERATIONAL PROCEDURES
2059,"Quick deaths, PSU (Power Supply Unit), troubleshooting",a critical electrical failure state where a power supply unit instantly and permanently stops converting ac alternating current voltage into direct low-voltage dc direct current lines completely rendering a computer non-functional without any preliminary warnings or graceful component shutdowns,67,6.4460096,-0.45956647,"Pressing the computer's physical power chassis switch produces absolutely no internal activity—chassis fans do not spin, diagnostic motherboard LEDs remain unlit, no post beep alerts occur, and no video output signals reach the monitor.","Verify the main wall outlet is active by plugging in a known functional appliance, ensure the physical toggle switch located on the back of the PSU (Power Supply Unit) enclosure is turned to the on (“I”) position, pull the internal 24-pin main ATX (Advanced Technology eXtended) power lead from the motherboard socket, use a dedicated hardware “PSU Tester” or bridge the green pin to a black ground wire using a paperclip to test for automated fan spin, and replace the dead unit with an appropriate wattage-rated component if it fails to activate.",Hardware,Hardware Troubleshooting,CORE 1,HARDWARE TROUBLESHOOTING,
2060,"Quitting applications, Force Quit (macOS (OS X))",an operating system management feature in apple macos that gives administrators the power to immediately terminate an un-responsive frozen or looping software process by sending a direct termination signal to the underlying system kernel,8,-0.47780198,2.5102096,"An open software application displays a spinning multi-colored wait cursor (commonly called the beachball), stops responding entirely to peripheral mouse clicks or keyboard inputs, and causes the desktop interface to experience lag.","Press the standard multi-key shortcut sequence “Option + Command + Escape” to launch the standalone “Force Quit Applications” management dialog box, scroll through the active process list to select the application currently tagged with the note ""Not Responding"", click the blue button labeled “Force Quit”, and confirm the action by clicking “Force Quit” a second time when the warning popup appears.",Operating Systems,macOS Tools & Features,CORE 2,,OPERATING SYSTEMS
2061,"Radio power levels, SOHO networks",a configurable transmission intensity setting for wireless access points that dictates the effective coverage radius of a wi-fi signal used to prevent signal bleeding into unauthorized areas and to minimize interference between overlapping wireless networks,93,0.77652705,-4.8442807,"Intermittent client disconnections, slow data throughput caused by excessive signal overlap or 'co-channel interference,' or security alerts indicating the signal is reaching public areas.","Access the WAP configuration interface via a web browser, navigate to the 'Wireless' or 'Advanced Radio' settings tab, and adjust the 'Transmit Power' level slider from 'High' to 'Medium' or 'Low' to focus the signal coverage area more precisely on the intended operational space.",Networking,Wireless Networking,CORE 1,NETWORKING,
2062,RADIUS (Remote Authentication Dial-In User Service) servers,a centralized network protocol and server used to manage user authentication authorization and accounting aaa for network access often utilized by waps and vpn gateways to verify credentials against a backend database like ad,5,-3.11311,-1.9157233,"Users are unable to connect to a corporate wireless network despite entering the correct credentials, or administrative logs show 'Authentication Timeout' errors when attempting to grant network access.","Verify the server service is active, ensure the shared secret between the network appliance (the RADIUS client) and the RADIUS server is synchronized, and use a tool like 'radtest' to manually verify that the server is responding correctly to authentication requests.",Networking,Network Services,CORE 1,NETWORKING,
2063,RAID (Redundant Array of Independent Disks),a data storage virtualization technology that combines multiple physical disk drive components into one or more logical units for the purposes of data redundancy performance improvement or both,58,3.0389118,3.854844,"The storage volume becomes 'degraded' or 'failed' in the disk management utility, or the system fails to boot because the controller can no longer communicate with the array.","Access the RAID controller BIOS or UEFI during boot to check the array status; if a drive has failed, replace the physical disk and trigger a rebuild process within the controller's management software.",Hardware,Storage,CORE 1,HARDWARE,
2064,RAID: Striping,a raid configuration that spreads data across multiple disks in an array increasing performance by allowing simultaneous reading and writing but providing no redundancy if a single drive fails,58,3.396527,3.6084394,Total loss of all data on the volume if one physical drive within the striped array experiences a catastrophic mechanical or electrical failure.,"Since striping does not offer redundancy, you must restore the data from a verified off-site or cloud backup; ensure the replacement drives are of identical capacity and speed before recreating the array.",Hardware,Storage,CORE 1,HARDWARE,
2065,RAID: Mirror,a raid configuration that duplicates identical data across two or more disks ensuring that the system continues to operate even if one drive fails at the cost of having half or less of the total raw disk capacity available,58,3.1182184,3.6323526,"The system continues to run, but the RAID management software reports an 'Array Degraded' status, indicating that one of the drives in the mirror pair is no longer responding.",Replace the faulty drive; the RAID controller will automatically (or with manual intervention) synchronize the data from the healthy 'mirror' drive to the new drive to restore the redundancy.,Hardware,Storage,CORE 1,HARDWARE,
2066,RAID: Parity,a checksum-based method of providing data redundancy in raid configurations like raid 5 or 6 where calculated bits are spread across drives allowing the system to reconstruct missing data if a single drive fails without needing a full mirror,58,3.1564775,3.6118026,"Read errors on files stored in the array; if too many drives fail, the parity information becomes useless and the volume becomes corrupt.","Identify the failed drive using the controller’s diagnostic logs, remove it, and insert a new drive to allow the controller to recalculate the missing data using the existing parity information.",Hardware,Storage,CORE 1,HARDWARE,
2067,RAID: RAID 0,a configuration that implements 'striping' across disks to improve performance by spreading data access but it provides no fault tolerance if one disk fails all data is lost,58,3.1371467,3.8402457,Massive read/write speed drop or total system failure following a single disk error.,RAID 0 is not fault-tolerant; you must rely on existing backups and re-initialize the array after replacing the failed physical hardware.,Hardware,Storage,CORE 1,HARDWARE,
2068,RAID: RAID 1,a configuration that implements 'mirroring' across two disks providing high redundancy if one disk fails the data remains intact on the remaining operational disk,58,3.093432,3.6874256,"System remains functional, but an alert or log entry indicates one physical disk is offline.",Replace the faulty drive and allow the array to rebuild the mirror from the surviving operational disk.,Hardware,Storage,CORE 1,HARDWARE,
2069,RAID: RAID 4,a configuration that uses disk striping with a dedicated parity drive to hold checksum information though it is rarely used in modern systems because the dedicated parity drive can become a performance bottleneck,1,2.855481,3.9921362,Performance degradation during write operations or array failure if the parity drive fails.,"Troubleshoot via the RAID management interface; if the parity drive is failing, replace it and initiate a rebuild.",Hardware,Storage,CORE 1,HARDWARE,
2070,RAID: RAID 5,a configuration that uses block-level striping with distributed parity requiring at least three disks it offers a balance of performance and redundancy allowing the array to survive the failure of one disk,58,2.9489884,3.635521,Read errors on files or array performance drop following a disk failure (as the system calculates parity for every read request).,"Replace the single failed drive immediately; once the new drive is inserted, the controller will rebuild the missing data using parity from the surviving drives.",Hardware,Storage,CORE 1,HARDWARE,
2071,RAID: RAID 6,an extension of raid 5 that uses 'double distributed parity ' requiring at least four disks it provides higher fault tolerance than raid 5 by allowing the array to survive the simultaneous failure of two disks,58,3.351267,3.5821433,Array health warning in management software; survival of the volume despite two drive failures.,"Replace the two failed drives one at a time, allowing the array to rebuild data before replacing the second drive, if supported by the controller.",Hardware,Storage,CORE 1,HARDWARE,
